ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilteredNuclei,Parent_IdentifyPrimaryObjects,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
20,3,208,336,163,70,139,56,150.51442307692307,62.64903846153846,1.4175364260704924,224,0.9196041261850124,16.273715780512877,1,0.6190476190476191,0.7054492439196559,26.154730982159297,24.351591323771842,5.0,2.428602833518634,2.23606797749979,9.486832980505138,10.274790481573136,68.60322122766895,60.87005768508881,0.9285714285714286,150.51442307692307,62.64903846153846,0,3,3,3,1.65925163431443,1.0263659850362532,nan,1.6634214060116617,21.0,3,0.9974932559589759,19.0,2,1.0119105141089904,0.1716515268650909
20,4,170,200,218,68,198,58,207.05882352941177,62.423529411764704,1.2045792019660269,177,0.8689688344994676,14.712264360219255,1,0.85,0.83016542072773,21.01406305004796,19.6468827043885,5.0,2.4568953764559627,2.0,9.0,10.399162453493322,-87.19394435409201,50.72792206135786,0.96045197740113,207.05882352941177,62.423529411764704,0,4,4,4,0.0,0.0,nan,0.0,24.0,1,nan,0.0,0,0.0,0.0
20,5,231,364,250,116,236,90,242.36796536796535,102.24675324675324,1.4235987760544824,248,0.92147509221027,17.14987856615383,1,0.6346153846153846,0.7024451108138134,27.671150537773837,26.0,5.0990195135927845,2.543226379212938,2.23606797749979,9.823049816238727,10.748511220192894,-17.2102241001207,64.2842712474619,0.9314516129032258,242.36796536796535,102.24675324675324,0,5,5,5,0.9020270745442488,0.2883877410522266,nan,3.1275248280213024,14.0,12,0.2884156398895596,19.0,4,-0.04721320346322955,-0.2844967532467564
20,6,243,392,243,143,229,115,235.559670781893,128.19753086419752,1.5532621371875244,260,0.9440386223103194,17.58969042850512,1,0.6198979591836735,0.6438063325297362,30.888109271028203,28.460498941515414,5.0,2.450792997898435,2.23606797749979,9.559932410446619,10.187977290801264,-16.269042638928386,68.8700576850888,0.9346153846153846,235.559670781893,128.19753086419752,0,6,6,6,3.807742761983923,0.18719287108521043,nan,4.11099655427735,15.0,12,0.9262335085204821,19.0,5,-0.10419476432548436,0.15551405747481795
20,7,285,600,128,189,108,159,117.12982456140351,173.3298245614035,1.6664665597381416,305,0.9526577136702374,19.04923279949934,1,0.475,0.6000720471445486,34.696023328466325,32.2490309931942,5.0,2.5443148649526237,2.23606797749979,9.736659990504991,10.549147766126287,-28.79782905322297,77.25483399593904,0.9344262295081968,117.12982456140351,173.3298245614035,0,7,7,7,1.6419995823705624,0.003452500155647635,nan,4.090104079121786,5.0,20,0.40145667459961737,19.0,6,-0.003268963776349665,-0.0011106903950519609
20,8,257,504,247,205,219,187,232.6770428015564,195.5603112840467,1.6133778411640585,276,0.9497567717788319,18.089294154193436,1,0.5099206349206349,0.6198176115264458,32.475100850116284,30.01666203960727,5.0,2.463138588074001,2.23606797749979,9.324344278629736,10.164347282417632,62.190624853844994,72.18376618407356,0.9311594202898551,232.6770428015564,195.5603112840467,0,8,8,8,1.9011752145982632,0.2352828862567403,nan,2.9140167458905677,6.0,20,0.652424258467065,19.0,7,-0.2331612800762457,-0.031525450647194475
20,9,302,408,300,232,266,220,282.0298013245033,225.35099337748343,1.6290379835059896,321,0.9554156496527356,19.60913925979463,1,0.7401960784313726,0.613859228652125,36.38301464676044,33.734255586866,5.0,2.624659038377813,2.23606797749979,10.242688307053891,10.742601010714404,81.36126110069829,78.62741699796952,0.940809968847352,282.0298013245033,225.35099337748343,0,9,9,9,1.7774905487911155,0.11087845345155461,nan,2.681044351843527,7.0,20,0.6629843879937628,19.0,8,-0.10240206532722596,0.042518801212253265
20,10,225,360,274,263,250,248,261.8177777777778,255.2577777777778,1.320901817838901,240,0.9016888549176779,16.925687506432688,1,0.625,0.7570585387156772,25.855659720500274,24.351591323771842,5.385164807134504,2.599498309541476,2.23606797749979,10.285912696499032,11.179612006471002,-67.60499812336268,61.11269837220809,0.9375,261.8177777777778,255.2577777777778,0,10,10,10,5.57984029818795,0.4205137955663174,nan,6.564540545563334,12.0,13,0.8499970804444346,19.0,9,-0.2850259605399401,0.30917964693665567
20,11,272,513,297,274,270,255,282.70588235294116,264.625,1.4753229054992922,292,0.9261501389849041,18.609705966725112,1,0.530214424951267,0.6778177145304816,30.449691307697005,29.068883707497267,5.830951894845301,2.687359840665092,2.23606797749979,11.039091378439553,11.484254376054192,61.03048982568849,71.01219330881976,0.9315068493150684,282.70588235294116,264.625,0,11,11,11,3.604960168460578,0.24574142572510047,nan,5.087553843957166,13.0,13,0.7085841799477827,19.0,10,-0.24168319013000428,0.044475655430687766
20,12,270,434,162,292,131,278,145.36296296296297,284.462962962963,1.652124255488362,299,0.949139050429928,18.5411616971131,1,0.6221198156682027,0.605281350163583,33.43570268075605,31.32091952673165,5.656854249492381,2.5238263051943655,2.23606797749979,10.67156750159865,10.52747207425699,77.03920915039572,74.8700576850888,0.903010033444816,145.36296296296297,284.462962962963,0,12,12,12,2.3476792555835124,0.3557656412924658,nan,2.4843851821761422,18.0,4,0.9449739406057457,19.0,11,-0.148487418716428,-0.3232965790217577
20,13,266,348,139,298,110,286,124.32706766917293,291.3233082706767,1.527509807509475,295,0.9272274894438417,18.403307281560924,1,0.764367816091954,0.6546602811214991,30.30943167687245,28.160255680657446,5.830951894845301,2.6311981561306785,2.23606797749979,11.0,11.350838977820755,-88.56762473176917,71.45584412271572,0.9016949152542373,124.32706766917293,291.3233082706767,0,13,13,13,7.332609385979045,1.2484726442182723,nan,27.321712902885736,9.0,20,0.2683802956294358,19.0,12,1.2478223861540698,0.04028940275219384
20,14,228,342,157,308,138,290,148.1140350877193,297.05263157894734,1.2829018175427798,242,0.8182717667388036,17.03815178355966,1,0.6666666666666666,0.7794828772753328,23.27048866508301,23.345235059857504,6.082762530298219,2.6852216964048954,2.23606797749979,13.474607814778201,13.376611167439602,48.265453815551446,60.62741699796952,0.9421487603305785,148.1140350877193,297.05263157894734,0,14,14,14,1.4850947947853992,0.5302987425230309,nan,2.711973398476889,19.0,4,0.5476066968870215,19.0,13,0.5200179937021971,0.10391363022938549
20,15,205,250,140,306,115,296,127.61951219512196,300.77073170731705,1.426837143413433,219,0.9254512616295052,16.15593100600236,1,0.82,0.7008508326379089,26.59699285194151,24.331050121192877,5.0,2.391679380045377,2.0,9.0,10.076714419607766,-86.24796786899326,60.62741699796952,0.9360730593607306,127.61951219512196,300.77073170731705,0,15,15,15,11.433684615720196,0.8538586263761806,nan,25.663069582867283,9.0,20,0.44553067117712786,19.0,14,0.8345121951219596,0.18073170731707933
21,1,283,486,142,63,115,45,127.73144876325088,53.86219081272085,1.4317152427255535,302,0.9225982515210941,18.982275710779543,1,0.5823045267489712,0.69846291368408,30.732185460803652,29.068883707497267,5.830951894845301,2.742930492157768,2.8284271247461903,11.141720290623113,11.855315129268204,66.15596447720671,71.35533905932738,0.9370860927152318,127.73144876325088,53.86219081272085,0,1,1,1,2.081506338739015,1.6156766012440718,nan,2.161451368743582,20.0,4,0.9630132645311203,20.0,1,1.4173693408682055,0.7755482134428675
21,2,215,300,166,68,141,56,152.93488372093023,61.544186046511626,1.413560591293757,232,0.9229069852500024,16.545286401814263,1,0.7166666666666667,0.7074334175408449,26.93307173719014,24.698178070456937,5.0,2.472656838351084,2.23606797749979,9.616652224137047,10.369851591475355,78.77976678474849,61.79898987322333,0.9267241379310345,152.93488372093023,61.544186046511626,0,2,2,2,4.104961390251703,2.660700770131471,nan,4.324122176143133,21.0,4,0.9493166989821484,20.0,3,2.4204606440071643,-1.1048524150268335
