ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
30,15,1,157.05978260869566,72.90760869565217,0,15
30,16,1,184.98203592814372,73.90419161676647,0,16
30,17,1,89.40932642487047,81.34196891191709,0,17
30,18,1,121.36305732484077,74.57961783439491,0,18
30,19,1,165.5,76.99305555555556,0,19
30,20,1,194.78,77.84,0,20
30,21,1,98.92,89.195,0,21
30,22,1,122.75647668393782,83.65284974093264,0,22
30,23,1,113.91037735849056,87.00471698113208,0,23
30,24,1,142.83333333333334,83.13095238095238,0,24
30,25,1,190.932,91.796,0,25
30,26,1,161.96703296703296,87.14285714285714,0,26
30,27,1,172.11483253588517,89.63636363636364,0,27
30,28,1,210.08658008658008,92.99567099567099,0,28
30,29,1,72.03355704697987,91.4496644295302,0,29
30,30,1,75.28426395939087,97.72081218274111,0,30
30,31,1,175.06698564593302,95.89473684210526,0,31
30,32,1,112.21578947368421,98.23157894736842,0,32
30,33,1,134.19248826291079,95.53990610328638,0,33
30,34,1,192.74545454545455,100.10909090909091,0,34
30,35,1,95.15813953488372,103.28372093023256,0,35
30,36,1,140.3119266055046,101.13761467889908,0,36
30,37,1,146.3271028037383,106.21495327102804,0,37
30,38,1,159.61855670103094,111.0446735395189,0,38
30,39,1,123.54285714285714,113.73809523809524,0,39
30,40,1,113.19158878504673,118.66355140186916,0,40
30,41,1,174.32618025751074,115.87553648068669,0,41
30,42,1,143.14671814671814,122.57528957528957,0,42
31,1,1,229.49444444444444,46.27777777777778,0,1
31,2,1,95.23170731707317,60.40243902439025,0,2
31,3,1,72.7685393258427,71.92584269662922,0,3
31,4,1,206.60693641618496,52.74566473988439,0,4
31,5,1,111.75141242937853,57.89265536723164,0,5
31,6,1,233.94444444444446,54.53703703703704,0,6
31,7,1,181.54545454545453,59.0959595959596,0,7
31,8,1,211.54455445544554,59.58910891089109,0,8
31,9,1,103.66145833333333,64.08854166666667,0,9
