ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifySecondaryObjects
40,16,290.50943396226415,268.39622641509436,0,16,31
40,17,112.70270270270271,291.2432432432432,0,17,36
41,1,127.46031746031746,55.023809523809526,0,1,1
41,2,208.16964285714286,63.892857142857146,0,2,5
41,3,178.29090909090908,63.78181818181818,0,3,6
41,4,335.8378378378378,82.10810810810811,0,4,8
41,5,246.6509433962264,95.5,0,5,9
41,6,316.21276595744683,94.19148936170212,0,6,10
41,7,38.986111111111114,129.23611111111111,0,7,12
41,8,232.53703703703704,136.55555555555554,0,8,13
41,9,121.83116883116882,160.01298701298703,0,9,16
41,10,113.71212121212122,181.4848484848485,0,10,19
41,11,229.1578947368421,194.93421052631578,0,11,22
41,12,248.7764705882353,198.68235294117648,0,12,23
41,13,267.9896907216495,223.27835051546393,0,13,25
41,14,293.13253012048193,227.79518072289156,0,14,26
41,15,257.6014492753623,257.2971014492754,0,15,27
41,16,290.52941176470586,268.3921568627451,0,16,30
41,17,112.73170731707317,291.0975609756098,0,17,34
41,18,157.28,301.9,0,18,37
42,1,126.82456140350877,54.43859649122807,0,1,1
42,2,208.44347826086957,63.982608695652175,0,2,5
42,3,178.09615384615384,63.73076923076923,0,3,6
42,4,336.05333333333334,82.16,0,4,7
42,5,248.61111111111111,93.25555555555556,0,5,8
42,6,315.84375,94.36458333333333,0,6,9
42,7,38.61971830985915,128.95774647887325,0,7,11
42,8,232.43859649122808,136.17543859649123,0,8,13
42,9,122.05263157894737,159.60526315789474,0,9,16
42,10,113.4931506849315,181.54794520547946,0,10,20
42,11,228.51315789473685,194.56578947368422,0,11,23
42,12,249.32584269662922,198.7865168539326,0,12,25
42,13,267.88775510204084,223.1326530612245,0,13,26
42,14,293.1744186046512,227.7906976744186,0,14,27
42,15,257.5777777777778,257.2148148148148,0,15,28
42,16,290.49056603773585,268.50943396226415,0,16,31
42,17,112.43181818181819,291.27272727272725,0,17,35
43,1,127.10084033613445,54.596638655462186,0,1,1
43,2,144.03846153846155,62.76923076923077,0,2,3
43,3,208.04424778761063,63.85840707964602,0,3,4
43,4,177.59615384615384,63.71153846153846,0,4,5
43,5,335.83098591549293,82.05633802816901,0,5,6
43,6,245.96116504854368,96.01941747572816,0,6,7
43,7,315.8723404255319,94.1063829787234,0,7,8
43,8,39.070422535211264,129.22535211267606,0,8,10
43,9,232.47368421052633,135.87719298245614,0,9,11
43,10,121.76315789473684,159.94736842105263,0,10,14
43,11,113.67123287671232,181.3972602739726,0,11,18
43,12,228.65277777777777,194.40277777777777,0,12,21
43,13,249.0568181818182,198.6818181818182,0,13,22
43,14,268.8673469387755,223.23469387755102,0,14,23
43,15,291.94565217391306,226.83695652173913,0,15,24
43,16,257.2142857142857,257.3412698412698,0,16,25
43,17,289.36206896551727,268.13793103448273,0,17,27
43,18,112.15555555555555,291.24444444444447,0,18,32
44,1,127.22522522522523,54.693693693693696,0,1,1
44,2,208.48695652173913,63.982608695652175,0,2,3
44,3,176.84782608695653,63.95652173913044,0,3,5
44,4,336.18666666666667,81.8,0,4,6
44,5,245.97115384615384,96.13461538461539,0,5,7
44,6,315.35051546391753,94.44329896907216,0,6,8
44,7,38.97435897435897,129.06410256410257,0,7,10
44,8,232.58064516129033,135.91935483870967,0,8,13
44,9,121.84810126582279,159.26582278481013,0,9,16
44,10,113.71794871794872,181.24358974358975,0,10,20
44,11,228.66666666666666,194.22666666666666,0,11,23
44,12,249.85,198.8875,0,12,24
