ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_FilteredNuclei,Parent_Watershed,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
18,30,2,4,292,264,290,262,290.5,262.5,0.0,2,1.0,1.5957691216057308,1,0.5,inf,2.8284271247461903,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,-45.0,0.0,1.0,0,290.5,262.5,0,132.7803444468016,2.5495097567963922,31,6.0,100.0,3.580502757993626,28,30,30,30,3.9319206502674775,2.7280436620813604,3.0,4.367826845581189,299.0,3,0.9002006694119054,17.0,34,2.433333333333337,-1.2333333333333485
18,31,1,1,292,266,291,265,291.0,265.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,291.0,265.0,0,142.12501634890182,2.23606797749979,32,4.0,100.0,2.5495097567963922,30,31,31,31,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,32,1,1,291,268,290,267,290.0,267.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,290.0,267.0,0,20.224859431168078,2.23606797749979,31,4.0,100.0,4.527692569068709,30,32,32,32,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,33,1,1,289,273,288,272,288.0,272.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,288.0,272.0,0,176.63353933657007,3.1622776601683795,34,5.0,100.0,5.385164807134504,32,33,33,33,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,34,1,1,288,276,287,275,287.0,275.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,287.0,275.0,0,2.1210963966614473,3.1622776601683795,33,5.0,100.0,8.54400374531753,32,34,34,34,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,35,15,32,219,290,215,282,216.06666666666666,285.93333333333334,0.8222804434744191,24,0.8889776721596601,4.370193722368317,1,0.46875,1.2161301024923497,7.848870738654099,7.0710678118654755,1.4142135623730951,1.0276142374915398,1.0,3.0,3.5943946044283903,7.708298770685465,12.449747468305834,0.625,0,216.06666666666666,285.93333333333334,0,11.030063523166893,7.191352832086292,36,10.0,100.0,11.066867468057774,39,35,35,35,4.170065280597456,4.170065280597456,nan,4.170065280597456,331.0,2,1.0,17.0,38,-2.01666666666668,-3.6499999999999773
18,36,5,9,219,295,216,292,217.4,293.0,0.31011788482465075,7,0.6123724356957945,2.5231325220201604,1,0.5555555555555556,3.224580228790828,3.2,2.23606797749979,1.0,1.0,1.0,1.7888543819998317,2.5298221281347035,90.0,4.414213562373095,0.7142857142857143,0,217.4,293.0,0,150.02504138080837,4.23792402008342,39,4.0,100.0,7.191352832086292,35,36,36,36,3.484330000955089,3.484330000955089,nan,3.484330000955089,331.0,2,1.0,17.0,38,-0.6833333333333371,3.4166666666666856
18,37,97,280,227,324,217,296,221.60824742268042,309.07216494845363,2.9406122013127587,139,0.9882415274457836,11.11324596323283,1,0.3464285714285714,0.3400652420450328,30.505601820034347,27.892651361962706,2.8284271247461903,1.3268111248707284,1.0,4.608176875690327,4.664333794842682,13.383878129107915,59.8700576850888,0.697841726618705,1,221.60824742268042,309.07216494845363,0,10.24507936216983,13.311258606783735,39,9.0,100.0,16.613964984337663,36,37,37,37,13.620543326439307,5.994417181213118,nan,69.06027138821797,106.0,10,0.19722690126530606,17.0,42,0.7306964022722582,5.949715968861824
18,38,1,1,293,297,292,296,292.0,296.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,292.0,296.0,0,176.0698244542746,6.082762530298219,40,5.0,100.0,21.587033144922902,34,38,38,38,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,39,1,1,217,298,216,297,216.0,297.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,216.0,297.0,0,18.94489509602471,4.23792402008342,36,3.0,100.0,11.066867468057774,35,39,39,39,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,40,1,1,294,303,293,302,293.0,302.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,293.0,302.0,0,174.37434499112422,6.082762530298219,38,2.0,100.0,17.28761799991864,41,40,40,40,15.095591692904396,17.359891840865902,nan,68.61409037510583,140.0,9,0.2200071677752838,17.0,44,-5.0234375,-16.6171875
18,41,120,330,303,334,292,304,297.5,318.69166666666666,3.471762884084731,179,0.9878128868100581,12.360774464742066,1,0.36363636363636365,0.2880381043832814,33.67211770347154,30.083217912982647,2.23606797749979,1.3651924717277761,1.0,5.744189077189786,5.240932956301494,13.67844071488588,72.35533905932738,0.6703910614525139,1,297.5,318.69166666666666,0,1.4633912862389824,17.28761799991864,40,6.0,100.0,23.3486988098076,38,41,41,41,18.725540552629656,0.5287097149415836,nan,51.78290824918151,140.0,9,0.36161623952292477,17.0,44,-0.5234375,0.07447916666666288
18,42,285,460,232,380,222,334,227.10877192982457,359.11929824561406,3.236883125458277,363,0.9870466716364453,19.04923279949934,1,0.6195652173913043,0.308939174273838,49.99898086695995,45.044422518220834,4.47213595499958,1.990901146563076,2.0,8.359918378436339,8.021505277826039,-3.9463992544074356,107.66904755831213,0.7851239669421488,1,227.10877192982457,359.11929824561406,0,40.13764625055621,30.772156117329004,54,7.0,87.58241758241758,37.71592506033114,51,42,42,42,39.60420869885288,5.04361059690537,nan,55.074258537570685,106.0,10,0.7191056175878535,17.0,47,-1.8317485162720857,4.699223896171702
18,43,1,1,287,341,286,340,286.0,340.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,286.0,340.0,0,36.86989764584401,3.1622776601683795,45,7.0,100.0,3.1622776601683795,46,43,43,43,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
18,44,126,391,305,365,288,342,296.1746031746032,353.015873015873,2.6834807848461915,168,0.9732482042685302,12.666024736934256,1,0.32225063938618925,0.37265032999195363,27.61441688262273,25.059928172283335,3.0,1.5615513118277753,1.4142135623730951,6.640783086353597,6.344584777184202,-33.61327258574898,65.18376618407356,0.75,1,296.1746031746032,353.015873015873,0,15.387835140916822,13.19447726454924,48,7.0,76.21023513139696,13.582748458302985,46,44,44,44,10.537334308852223,11.2848966027508,nan,13.806177770817033,310.0,3,0.7632332774336453,17.0,48,7.69006709212897,-8.259041073474066
18,45,1,1,286,344,285,343,285.0,343.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,285.0,343.0,0,153.43494882292202,2.0,46,4.0,100.0,2.23606797749979,47,45,45,45,18.177404523416953,28.248292579106543,nan,68.51784025984588,202.0,7,0.2652944759274559,17.0,49,18.484978540772545,-21.360515021459207
18,46,1,1,288,344,287,343,287.0,343.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,287.0,343.0,0,71.56505117707799,2.0,45,4.0,100.0,3.1622776601683795,43,46,46,46,19.831480036178096,29.59570826653581,nan,69.86525594727516,202.0,7,0.28385325105148423,17.0,49,20.484978540772545,-21.360515021459207
18,47,1,1,284,345,283,344,283.0,344.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,0,283.0,344.0,0,71.56505117707799,2.23606797749979,45,6.0,100.0,2.8284271247461903,48,47,47,47,0.0,0.0,1.0,0.0,nan,1,nan,0.0,0,0.0,0.0
