CellId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
191.0,26.3095722198486,31.775970760144684,-0.566,19.0,0.014
192.0,13.5132532119751,19.276052157084134,-0.888,3.0,0.115
193.0,39.4681510925293,41.8705368041992,-0.902,2.0,0.038
194.0,21.0542812347412,21.0542812347412,0.0,1.0,0.0
195.0,23.7295475006104,25.543211936950687,0.39,8.0,0.01
198.0,11.1230497360229,11.1230497360229,0.0,1.0,0.0
199.0,48.5354309082031,53.745149612426744,-1.117,2.0,0.065
200.0,7.62828302383423,7.62828302383423,0.0,1.0,0.0
201.0,36.3387069702148,36.19120534261064,0.556,3.0,0.003
203.0,58.7837791442871,58.7837791442871,0.0,1.0,0.0
204.0,8.93259048461914,8.93259048461914,0.0,1.0,0.0
205.0,36.5711059570313,35.59160137176512,-0.428,4.0,-0.002
206.0,31.8172416687012,22.587842941284187,-1.67,8.0,-0.044
207.0,24.8069515228271,24.8069515228271,0.0,1.0,0.0
208.0,15.5818824768066,15.5818824768066,0.0,1.0,0.0
209.0,23.8930625915527,24.08597869873048,-0.331,5.0,0.013
211.0,23.8339538574219,23.8339538574219,0.0,1.0,0.0
213.0,22.8432941436768,22.8432941436768,0.0,1.0,0.0
214.0,25.6223373413086,30.17336908976239,-0.917,9.0,0.015
215.0,30.3035736083984,29.509783744811998,-0.883,2.0,-0.018
216.0,5.62722682952881,5.62722682952881,0.0,1.0,0.0
217.0,21.1290721893311,26.657527605692547,0.522,6.0,0.044
218.0,11.5456113815308,11.5456113815308,0.0,1.0,0.0
219.0,14.8628311157227,14.8628311157227,0.0,1.0,0.0
220.0,28.0811901092529,27.977514266967752,0.042,2.0,-0.002
222.0,30.2856922149658,29.7138605117798,0.147,2.0,-0.013
224.0,20.0411567687988,20.0411567687988,0.0,1.0,0.0
226.0,20.8592472076416,20.8592472076416,0.0,1.0,0.0
227.0,9.10023307800293,9.10023307800293,0.0,1.0,0.0
228.0,9.80673789978027,9.80673789978027,0.0,1.0,0.0
229.0,33.5087623596191,35.64118576049805,0.243,2.0,0.04
231.0,32.9795532226563,29.73249762398857,0.014,7.0,-0.027
232.0,23.6633586883545,23.6633586883545,0.0,1.0,0.0
233.0,24.4418659210205,24.4418659210205,0.0,1.0,0.0
