TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag
13,20,-10.49145168809957,156.0,279.94117647058823,242.1960784313725,False
13,23,3.1129876200039006,94.0,207.2360248447205,275.4130434782609,False
13,27,-2.590118122638619,165.0,260.8,272.26666666666665,False
13,30,-18.49071940788527,13.0,278.3928571428572,279.9404761904762,False
13,36,-22.42929823263317,145.0,288.02272727272725,296.28977272727275,False
13,45,21.91600211590817,111.0,230.22222222222223,329.550135501355,True
13,52,-26.002566129623634,207.0,270.2826086956522,332.33152173913044,True
13,54,0.0,13.0,250.0,330.5,False
13,55,9.277353206294285,13.0,251.7958115183246,346.70680628272254,False
14,1,32.994870167139034,112.0,250.67578125,154.90234375,True
14,2,39.207887469391046,67.0,231.0185185185185,151.59259259259258,False
14,3,29.82178971941148,66.0,221.0682926829268,163.29268292682926,True
14,4,45.0,67.0,238.5,163.5,False
14,7,-45.0,66.0,229.5,180.5,False
14,15,13.64476339627648,115.0,285.1703296703297,198.521978021978,False
14,16,-18.69841615935846,94.0,214.6144578313253,202.2530120481928,False
14,21,3.765293624474893,127.0,298.35,233.15,False
14,25,-26.87358876079273,94.0,198.95294117647057,238.04313725490195,False
14,30,-10.972571596829964,156.0,280.4022988505747,239.17241379310343,False
14,33,-9.614824736627591,94.0,205.2022471910112,274.30337078651684,True
14,34,-6.147218746604487,127.0,297.40983606557376,259.7103825136612,False
14,40,-8.274071856390458,13.0,279.6818181818182,278.9886363636364,False
14,43,5.158429710813828,165.0,260.6923076923077,276.96153846153845,False
14,44,-12.172773011968667,145.0,290.9438202247191,299.2696629213483,False
14,45,22.480410983466985,111.0,221.47692307692307,306.9384615384615,False
14,46,-21.09486084010158,207.0,268.618320610687,321.77862595419845,False
14,47,-32.87373305839944,207.0,277.10460251046027,337.36401673640165,False
14,48,24.72480547293826,111.0,235.63470319634703,337.3972602739726,False
14,49,18.910644902724616,13.0,253.19760479041915,342.7065868263473,True
15,1,46.714194823405954,67.0,221.76,145.23555555555555,False
15,2,50.05969894252823,112.0,247.81770833333331,150.58333333333334,False
15,3,44.58940446328397,66.0,208.95473251028807,153.09465020576133,False
15,5,38.652960205197225,112.0,262.5274725274725,164.95604395604394,False
15,8,28.73667115292269,66.0,228.11764705882356,175.35294117647058,False
15,13,-1.7357045889283889,241.0,274.30232558139534,182.06976744186048,False
15,14,-2.6038790220811365,115.0,288.493023255814,192.0744186046512,False
15,15,-16.036073304915803,94.0,213.91411042944785,199.9509202453988,False
15,21,-8.788374582566044,127.0,295.4323432343234,243.4851485148515,True
