TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
31,16,-0.5097113104403862,3,150.5740072202166,81.2129963898917,0.913,0.815,False,39.05378495130849,9.280774365162848,11
31,24,-0.3391051911189617,2,235.916,88.628,0.864,0.309,False,35.36642504243547,9.506678690152151,18
31,17,-0.02472056958465757,3,117.431654676259,90.7158273381295,1.319,0.319,False,40.08074208413653,9.261685689753469,11
31,20,-0.4987592455997225,2,184.8172043010753,104.8,4.1,-0.641,False,75.48247398715111,8.67129661420072,12
31,27,-0.4056478900873047,2,199.65746549560853,113.2685069008783,,,True,122.58934358810056,11.692803288638329,21
31,26,-0.4677261116368001,2,193.32106339468305,108.68711656441718,,,True,73.83947259191163,9.078237378307495,21
32,28,-2.852611494250859,3,95.91411648568608,70.52714708785784,6.256,1.984,False,136.50582707787223,31.13971554113668,4
32,10,-2.50784039552501,3,68.22990654205607,71.52523364485981,0.529,-0.162,False,84.4045654173434,11.07191349345221,5
32,29,-0.26328031039885974,3,166.58620689655172,64.28571428571429,,,False,28.944141737081505,9.650228055673509,4
32,16,-0.501498244407986,3,157.3059210526316,77.02631578947368,0.475,0.369,False,43.62049884378656,9.222764591672004,11
32,24,-0.3480863710080148,2,237.86131386861317,87.83211678832117,0.408,0.007,False,39.68864807202363,9.6656494420155,18
32,20,-0.60877041115848,2,177.97598870056498,110.0635593220339,,,True,95.98104180889884,17.723414578351093,12
32,17,-0.03566580542387969,3,120.27384615384616,89.6123076923077,0.482,0.256,False,46.67432468263654,9.358889709963366,11
32,30,-0.5999304103143951,2,208.4701492537313,98.98134328358208,0.66,0.27,False,40.57432375721506,9.376213554876458,26
32,31,-0.33796388356743323,2,234.46099290780143,96.80496453900707,0.448,-0.055,False,43.71030457876856,8.913078825488258,27
32,32,-0.2620144345351554,2,206.46127946127947,110.92929292929291,0.414,0.241,False,45.17248042361437,9.201244338597478,27
32,33,-0.5208844075680678,2,175.94505494505495,117.06593406593409,0.544,0.14,False,41.60438413452811,9.132592571208708,26
32,34,-0.4989138447001695,2,179.2751677852349,124.80536912751678,0.143,0.028,False,23.78937620139825,8.045571803171107,27
33,28,-3.017695546765389,3,108.40553359683794,69.8711462450593,4.052,-0.136,False,167.78468206996476,43.91889232113947,4
