CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity
268,0.0177023837811819,34.476170358654,13,0.259581433621686
269,0.0144392494914964,27.0741744234477,22,-0.217833855279926
270,0.00136467426203349,19.8861528591059,29,0.223603560532646
271,0.0132126870720199,30.2692243103618,26,-0.122297623029159
272,0.0583375645601293,25.2953692445872,8,-0.198786064708742
273,-0.00608059189360279,26.7548121987505,32,0.00521315332003288
274,0.0389190166991946,13.6815901851931,19,-0.218940181996955
275,0.0248001840309919,23.3905360481464,24,-0.716774263985124
276,0.00541045445584437,24.4879682108641,31,0.0987879279186023
277,0.00835350603220396,29.4407000556152,28,-0.216894509586496
278,0.0143932416334573,20.7551502017663,21,-0.145323868896358
279,0.00524495329222851,26.2520734026064,31,0.213175116293172
280,0.0168958652882899,33.6276780396136,17,1.73914663859906
281,0.0203599447433009,28.3685464508163,17,0.0586600098118099
282,0.00392903999701219,26.1427966648592,30,-0.137194069905718
283,0.00584843061505094,25.106326634857,31,0.121441369612121
284,0.0576614322953559,6.64530051983226,20,-0.130515187704901
285,0.0306074001400433,22.935309408882,19,-0.106275271604733
286,0.013590014427541,20.6256152157254,19,-0.662739548039194
287,0.130596967283466,18.1189559710395,5,-0.303685010886481
288,-0.00343308723136336,23.5746442557749,17,0.456105523264854
289,0.00511967636463329,22.7682340453591,6,-0.143177694355835
290,0.0687736363833246,17.922528225459,11,-0.631823258566941
291,0.0341321958956465,23.8918299193384,15,0.471030145132724
292,-0.00501206001527148,29.3841213760338,5,0.206484711036175
293,0.0219384206126095,28.9187555920713,19,0.663234746537593
294,0.00333689667576333,27.4318211775078,5,0.744590557946223
295,0.0482703689980623,10.0291539833177,20,0.139605755501047
296,0.0185236222354971,19.9128178077863,23,-0.0816162827678006
297,-0.0262578002601685,62.6337737300882,12,0.321875305274047
298,0.00859273175344252,24.8293919719684,14,-0.337830506277241
299,0.0227029693262137,24.8216229409202,22,0.401637180167878
300,0.021456439616737,24.1392677769951,15,0.215909582570531
301,0.00752462324908014,36.7099340382339,15,0.147222427072428
302,0.12809605672528,6.69430648785481,11,-0.289915672869897
303,-0.0476391589192432,40.788269486809,2,0.01840710681707
304,0.0595201765290723,6.20787715800384,24,-0.0893096188422173
305,0.0015565002896305,42.9707305106059,2,-0.0787297720010353
306,0.0250794635415201,27.3202580419743,16,-0.0769990179451649
307,-0.129003507051705,20.4119403003468,6,-0.398994165784213
308,0.22079404001003,12.1117498366796,4,-0.288538343546747
309,0.081681456058892,8.20224048130017,13,0.59289308367084
310,-0.0121238267174943,22.8696873564299,16,0.445948604844773
311,0.0536746075182927,12.3193555734813,19,0.78628522941239
312,0.0160492039963143,21.7976101089968,24,-0.775056377487368
313,0.0245379398936648,25.0215001066601,15,-0.00569862586880845
314,-0.0165807537778901,25.131353072941,11,-0.00477633805613467
315,0.0224391270938393,21.2189103093317,18,-0.0719807996282371
316,0.00863415449314829,39.8930142434501,11,-0.219288136539986
317,0.0039936228607876,28.3602042909976,28,-0.375995522176227
318,0.0214622053356036,16.7839401674347,23,0.0751181643143921
319,0.0231827091081891,17.7863572297155,22,-0.0560557008404816
320,-0.0290768061760022,22.6652372373076,17,0.240530606999586
321,0.0181642303782134,24.2561962221525,19,-0.207128158518703
322,0.0232103701071994,21.0852651202555,16,-0.00811164716879394
323,0.0243933125486674,25.9314837073076,14,0.497455260566209
324,0.00255178827125701,21.7960666200451,28,-1.14080086474687
325,0.0214614228683095,29.6457773401167,13,0.815195766619858
326,-0.174492723904835,26.8194828118042,5,-1.72233241958362
327,0.0161560983753006,24.1700306577579,14,0.631453785415038
328,0.0407056286129282,23.3489217252273,5,-0.359895014306388
329,0.0191937687917287,23.2594920795963,15,0.381255937645245
330,0.0238462403738651,17.5689108347493,20,-0.0509823373928498
331,0.0253180567740469,16.08538995206,26,-0.0791115093389032
332,-0.00101929289890365,29.9757854057659,28,0.024181927030657
333,0.0259350334706742,18.6594826847244,16,-0.140167332322832
334,-0.00124327053426685,28.6068988392961,3,0.452069283407683
335,0.00525223802394503,60.4162666275309,2,-0.0571250159050578
336,0.121725027127447,12.0320672939469,7,0.539509527668456
337,0.0232097437348459,28.3766111156283,18,-0.873223952887976
338,0.000117045434793184,22.3653943097976,27,-0.600757315721419
339,-0.209997045876423,25.2172925587354,3,1.27937592453352
340,0.0203586076973529,25.2577036400162,14,0.560388039195616
341,-0.0423843608758716,22.6904638671085,15,-0.081297959599149
342,0.0233093592225433,25.8017663202058,18,-0.185128168285187
343,0.0306582565235544,16.9006287155842,19,-0.156238939256993
